#{"t_start": 1748237572.2546065, "env_id": "None"}
r,l,t
-0.046014,20,38.214664
-0.031195,20,38.242664
-0.051656,20,38.271178
-0.056934,20,38.300179
-0.059584,20,38.330178
-0.051243,20,38.3617
-0.032558,20,38.389699
-0.081658,20,38.4167
-0.039335,20,38.446711
-0.055771,20,38.478221
-0.038612,20,38.502221
-0.050368,20,38.534221
-0.060477,20,38.561742
-0.033058,20,38.588745
-0.045099,20,38.622742
-0.034059,20,38.652753
-0.026232,20,38.683272
-0.037268,20,38.719272
-0.053088,20,38.748793
-0.023608,20,38.773189
-0.039444,20,38.808189
-0.055453,20,38.838187
-0.031466,20,38.865701
-0.051992,20,38.895702
-0.036549,20,38.929703
-0.04874,20,38.953711
-0.062254,20,38.983227
-0.02955,20,39.018226
-0.045167,20,39.04523
-0.039955,20,39.075749
-0.031721,20,39.106747
-0.069315,20,39.140746
-0.083387,20,39.172272
-0.052512,20,39.199272
-0.039814,20,39.230272
-0.034714,20,39.259776
-0.089658,20,39.286783
-0.056524,20,39.316782
-0.021448,20,39.346788
-0.074809,20,39.377303
-0.053359,20,39.403304
-0.042621,20,39.436303
-0.045481,20,39.468818
-0.045117,20,39.50182
-0.037201,20,39.52882
-0.052597,20,39.557826
-0.043079,20,39.586348
-0.038822,20,39.614348
-0.043235,20,39.646352
-0.049367,20,39.677864
-0.063662,20,39.703864
-0.054199,20,39.733863
-0.033327,20,39.765896
-0.045205,20,39.79689
-0.059915,20,39.82389
-0.030279,20,39.855898
-0.060817,20,39.888414
-0.033578,20,39.919414
-0.03549,20,39.949422
-0.053935,20,39.979942
-0.048763,20,40.009941
-0.071712,20,40.035942
-0.032725,20,40.069585
-0.053318,20,40.096585
-0.038032,20,40.126586
-0.047034,20,40.165103
-0.016945,20,40.217102
-0.045273,20,40.263623
-0.038201,20,40.307625
-0.08619,20,40.337625
-0.033585,20,40.373928
-0.042672,20,40.404934
-0.04747,20,40.547447
-0.045072,20,40.584958
-0.042653,20,40.621961
-0.050119,20,40.654968
-0.04118,20,40.687479
-0.057784,20,40.719479
-0.03224,20,40.746483
-0.046167,20,40.775991
-0.043995,20,40.807503
-0.055067,20,40.842508
-0.042643,20,40.868033
-0.049652,20,40.901033
-0.032526,20,40.931033
-0.067457,20,40.959041
-0.03996,20,40.989163
-0.052338,20,41.023166
-0.03483,20,41.06268
-0.06021,20,41.104679
-0.0609,20,41.138679
-0.049448,20,41.166198
-0.055686,20,41.201194
-0.049227,20,41.241199
-0.042066,20,41.276708
-0.062171,20,41.316706
-0.045828,20,42.734169
-0.066202,20,42.768693
-0.041139,20,42.802696
-0.044321,20,42.830693
-0.042028,20,42.862725
-0.042676,20,42.898726
-0.024571,20,42.934726
-0.05047,20,42.967249
-0.026559,20,43.001249
-0.026314,20,43.027246
-0.03678,20,43.058256
-0.049607,20,43.09077
-0.046929,20,43.119772
-0.030177,20,43.152778
-0.04775,20,43.185286
-0.04411,20,43.219287
-0.032308,20,43.25229
-0.023668,20,43.285809
-0.043294,20,43.310805
-0.030092,20,43.345809
-0.029016,20,43.373335
-0.045647,20,43.399334
-0.05422,20,43.429331
-0.05733,20,43.456342
-0.039133,20,43.491853
-0.050527,20,43.521852
-0.042491,20,43.556858
-0.04126,20,43.595371
-0.061623,20,43.63437
-0.035777,20,43.662887
-0.029078,20,43.690889
-0.04327,20,43.71789
